ds,trend,confirmed,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,holidays,holidays_lower,holidays_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,weekly,weekly_lower,weekly_upper,country
2021-01-27,4.12220695286732,14,-44,76,3.3951249470822855,4.380628821372472,0.0,0.0,0.0,0.0,0.0,0.0,2.441260377928834,2.441260377928834,2.441260377928834,2.441260377928834,2.441260377928834,2.441260377928834,Australia
2021-01-28,4.124972756739101,14,-45,73,2.61990688120102,4.79557929775101,0.0,0.0,0.0,0.0,0.0,0.0,2.4015588778313353,2.4015588778313353,2.4015588778313353,2.4015588778313353,2.4015588778313353,2.4015588778313353,Australia
2021-01-29,4.127738560610883,11,-44,74,1.5533988118889859,5.516413479268915,0.0,0.0,0.0,0.0,0.0,0.0,1.7850187815886387,1.7850187815886387,1.7850187815886387,1.7850187815886387,1.7850187815886387,1.7850187815886387,Australia
2021-01-30,4.130504364482665,25,-36,88,0.3283732695840511,6.76569158383555,10.198886139473455,10.198886139473455,10.198886139473455,10.198886139473455,10.198886139473455,10.198886139473455,2.561538636659648,2.561538636659648,2.561538636659648,2.561538636659648,2.561538636659648,2.561538636659648,Australia
2021-01-24,521.476683913277,1400,1161,1657,521.476683913277,521.476683913277,0.0,0.0,0.0,0.0,0.0,0.0,1.6846649042972646,1.6846649042972646,1.6846649042972646,1.6846649042972646,1.6846649042972646,1.6846649042972646,Austria
2021-01-25,518.295271106548,1094,821,1328,518.295271106548,518.295271106548,0.0,0.0,0.0,0.0,0.0,0.0,1.1111489493504272,1.1111489493504272,1.1111489493504272,1.1111489493504272,1.1111489493504272,1.1111489493504272,Austria
2021-01-26,515.113858299819,1334,1084,1614,515.1136661389924,516.3208220421384,0.0,0.0,0.0,0.0,0.0,0.0,1.5898293869660467,1.5898293869660467,1.5898293869660467,1.5898293869660467,1.5898293869660467,1.5898293869660467,Austria
2021-01-27,511.9324454930899,1641,1368,1931,506.9571602258187,520.5605739926581,0.0,0.0,0.0,0.0,0.0,0.0,2.205064146237025,2.205064146237025,2.205064146237025,2.205064146237025,2.205064146237025,2.205064146237025,Austria
2021-01-28,508.7510326863607,1824,1534,2120,493.14087435867566,529.2464662020798,0.0,0.0,0.0,0.0,0.0,0.0,2.5857708935026418,2.5857708935026418,2.5857708935026418,2.5857708935026418,2.5857708935026418,2.5857708935026418,Austria
2021-01-29,505.5696198796315,1808,1505,2137,478.6319427066167,537.0821076078703,0.0,0.0,0.0,0.0,0.0,0.0,2.5765049657429353,2.5765049657429353,2.5765049657429353,2.5765049657429353,2.5765049657429353,2.5765049657429353,Austria
2021-01-30,502.3882070729024,1656,1355,1954,464.00487899540616,551.9556592557365,0.0,0.0,0.0,0.0,0.0,0.0,2.2968171769426964,2.2968171769426964,2.2968171769426964,2.2968171769426964,2.2968171769426964,2.2968171769426964,Austria
2021-01-24,186.1928073186649,460,202,721,186.1928073186649,186.1928073186649,0.0,0.0,0.0,0.0,0.0,0.0,1.468915553004804,1.468915553004804,1.468915553004804,1.468915553004804,1.468915553004804,1.468915553004804,Bangladesh
2021-01-25,178.26002888120732,500,264,757,178.26002888120732,178.26002888120732,0.0,0.0,0.0,0.0,0.0,0.0,1.803316492744869,1.803316492744869,1.803316492744869,1.803316492744869,1.803316492744869,1.803316492744869,Bangladesh
2021-01-26,170.32725044375061,486,238,753,170.20841146596547,170.9959751989794,0.0,0.0,0.0,0.0,0.0,0.0,1.8528326093702585,1.8528326093702585,1.8528326093702585,1.8528326093702585,1.8528326093702585,1.8528326093702585,Bangladesh
